match_date,league,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_injury_impact,away_injury_impact,home_motivation,away_motivation,home_rest_days,away_rest_days,result
2022-08-01,Turkish Super Lig,Trabzonspor,Besiktas,2,0,1.17,0.55,0.34,1.45,0.48,0.61,3,2,H
2022-08-08,Turkish Super Lig,Trabzonspor,Fenerbahce,2,2,2.96,1.66,1.07,0.71,0.45,0.74,7,3,D
2022-08-15,Turkish Super Lig,Galatasaray,Besiktas,2,1,2.89,0.64,1.4,0.59,0.59,0.2,3,7,H
2022-08-22,Turkish Super Lig,Besiktas,Fenerbahce,1,1,0.95,0.69,0.99,1.68,0.08,0.25,3,6,D
2022-08-29,Turkish Super Lig,Besiktas,Galatasaray,2,2,1.36,2.88,0.7,1.72,0.85,0.0,3,2,D
2022-09-05,Turkish Super Lig,Trabzonspor,Fenerbahce,2,1,3.06,1.57,1.4,0.49,0.09,0.33,5,2,H
2022-09-12,Turkish Super Lig,Fenerbahce,Galatasaray,1,1,0.62,1.35,1.23,0.34,0.51,0.99,3,5,D
2022-09-19,Turkish Super Lig,Trabzonspor,Galatasaray,0,3,1.5,3.2,1.75,1.07,1.0,0.02,3,5,A
2022-09-26,Turkish Super Lig,Galatasaray,Trabzonspor,2,0,2.25,1.23,0.59,0.53,0.07,0.09,6,7,H
2022-10-03,Turkish Super Lig,Fenerbahce,Galatasaray,0,0,0.1,0.64,0.87,1.03,0.87,0.18,3,4,D
2022-10-10,Turkish Super Lig,Fenerbahce,Besiktas,1,1,1.21,0.1,0.35,1.71,0.88,0.6,5,2,D
2022-10-17,Turkish Super Lig,Galatasaray,Trabzonspor,4,1,4.37,2.13,0.46,1.48,0.6,0.29,3,7,H
2022-10-24,Turkish Super Lig,Galatasaray,Trabzonspor,2,2,2.8,1.54,0.5,1.65,0.2,0.02,4,5,D
2022-10-31,Turkish Super Lig,Trabzonspor,Galatasaray,1,1,0.77,1.77,0.24,0.65,0.89,0.98,7,7,D
2022-11-07,Turkish Super Lig,Fenerbahce,Besiktas,1,1,2.09,0.7,1.73,0.04,0.64,0.48,7,4,D
2022-11-14,Turkish Super Lig,Besiktas,Galatasaray,1,1,0.36,0.92,1.62,1.33,0.7,0.79,4,4,D
2022-11-21,Turkish Super Lig,Galatasaray,Besiktas,1,1,2.2,0.1,0.05,0.9,0.01,0.66,5,6,D
2022-11-28,Turkish Super Lig,Galatasaray,Besiktas,2,1,2.65,1.51,0.75,0.59,0.93,0.69,5,5,H
2022-12-05,Turkish Super Lig,Trabzonspor,Besiktas,2,2,3.1,2.35,0.87,0.41,0.7,0.5,6,7,D
2022-12-12,Turkish Super Lig,Trabzonspor,Fenerbahce,2,0,2.81,0.85,0.93,1.36,0.34,0.93,5,3,H
2022-12-19,Turkish Super Lig,Besiktas,Fenerbahce,1,0,0.31,0.66,1.65,1.58,0.38,0.58,4,3,H
2022-12-26,Turkish Super Lig,Fenerbahce,Galatasaray,0,1,0.85,0.43,1.71,0.5,0.17,0.45,4,3,A
2023-01-02,Turkish Super Lig,Trabzonspor,Fenerbahce,0,0,0.1,1.25,1.77,0.81,0.07,0.03,6,2,D
2023-01-09,Turkish Super Lig,Besiktas,Trabzonspor,0,2,0.1,1.86,0.73,0.34,0.77,0.27,3,2,A
2023-01-16,Turkish Super Lig,Galatasaray,Fenerbahce,2,1,1.93,0.76,0.14,0.36,0.82,0.26,7,2,H
2023-01-23,Turkish Super Lig,Trabzonspor,Besiktas,1,0,1.22,0.75,1.26,0.94,0.61,0.76,5,7,H
2023-01-30,Turkish Super Lig,Fenerbahce,Galatasaray,0,2,0.1,2.62,0.35,1.6,0.01,0.55,7,6,A
2023-02-06,Turkish Super Lig,Besiktas,Fenerbahce,0,3,1.28,3.9,1.44,1.66,0.12,0.24,5,2,A
2023-02-13,Turkish Super Lig,Besiktas,Trabzonspor,4,0,4.23,1.15,0.03,0.91,0.04,0.34,5,4,H
2023-02-20,Turkish Super Lig,Trabzonspor,Galatasaray,1,3,1.16,3.27,0.96,1.24,0.92,0.47,6,7,A
2023-02-27,Turkish Super Lig,Trabzonspor,Fenerbahce,0,0,0.33,0.1,1.01,1.5,0.56,0.16,6,6,D
2023-03-06,Turkish Super Lig,Besiktas,Fenerbahce,0,0,0.86,0.1,0.55,0.25,0.54,0.27,5,3,D
2023-03-13,Turkish Super Lig,Trabzonspor,Besiktas,1,1,0.77,1.72,0.08,1.65,0.54,0.99,2,5,D
2023-03-20,Turkish Super Lig,Galatasaray,Besiktas,3,2,1.99,2.54,1.44,0.73,0.25,0.49,4,5,H
2023-03-27,Turkish Super Lig,Trabzonspor,Besiktas,1,1,0.29,0.28,0.23,1.4,0.02,0.19,3,2,D
2023-04-03,Turkish Super Lig,Besiktas,Fenerbahce,1,0,0.59,0.21,1.05,1.53,0.62,0.72,7,6,H
2023-04-10,Turkish Super Lig,Trabzonspor,Galatasaray,0,2,0.1,2.14,0.37,1.14,0.64,0.53,6,6,A
2023-04-17,Turkish Super Lig,Fenerbahce,Galatasaray,2,0,2.08,0.51,1.09,1.6,0.19,0.78,3,2,H
2023-04-24,Turkish Super Lig,Fenerbahce,Galatasaray,1,1,0.81,1.62,1.69,0.98,0.7,0.2,7,7,D
2023-05-01,Turkish Super Lig,Galatasaray,Trabzonspor,2,2,3.64,1.37,0.21,0.91,0.76,0.5,7,3,D
2023-05-08,Turkish Super Lig,Galatasaray,Fenerbahce,1,1,0.62,0.97,1.02,0.26,0.18,0.2,3,4,D
2023-05-15,Turkish Super Lig,Galatasaray,Besiktas,4,1,3.31,1.44,0.59,0.84,0.52,0.43,6,4,H
